Start: [-626.0, -138.0]
Goal: [-625.9065, -137.78468]
X:  -15, Y: -121 -- Position: -625.906494, -135.597031 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784531 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.597092 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784592 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.597153 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784653 (-2.1875)
X:   -6, Y:  -25 -- Position: -625.906494, -137.125427 (+0.65921944)
X:   -7, Y:  -36 -- Position: -625.906494, -136.121078 (+1.0043554)
X:    9, Y:   57 -- Position: -625.906494, -137.784683 (-1.6636039)
Solved Z Axis.
Total steps: 193
